No,Group,Title,Description,Year,Maturity rating,Runtime,Price ($),Director,Cast,Category,Poster,Video,Trailer
1,New arrival,Shang-Chi and the Legend of the Ten Rings,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",2021,PG-13,2h 12m,1.5,Destin Daniel Cretton,"Simu Liu
Awkwafina
Tony Chiu-Wai Leung","Action
Adventure
Fantasy
Sci-Fi",Link,Link,Link
2,New arrival,The Medium,A horrifying story of a shaman's inheritance in the Isan region of Thailand. What could be possessing a family member might not be the Goddess they make it out to be.,2021,R,2h 10m,1.5,Chantavit Dhanasevi,"Narilya Gulmongkolpech
Sawanee Utoomma
Sirani Yankittikan","
Horror",Link,Link,Link
3,New arrival,Black Widow,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,2021,PG-13,2h 14m,1.5,"
Cate Shortland","Scarlett Johansson
Florence Pugh
David Harbour","Action
Adventure
Sci-Fi",Link,Link,Link
4,Action movie,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",2021,R,2h 12m,1.5,James Gunn,"Margot Robbie
Idris Elba        
John Cena
Daniela Melchior","Action
Adventure
Comedy
Sci-Fi",Link,Link,Link
5,New arrival,Hitman's Wife's Bodyguard,The bodyguard Michael Bryce continues his friendship with assassin Darius Kincaid as they try to save Darius' wife Sonia.,2021,R,1h 40m,1.5,Tom O'Connor,"Ryan Reynolds
Samuel L. Jackson
Salma Hayek","Action
Comedy
Crime
Thriller",Link,Link,Link
6,New arrival,Seance,"Camille, a young woman who arrives at the Fairfield Academy following one of the student's untimely and violent death.",2021,R,1h 32m,1.5,Simon Barrett,"Suki Waterhouse
Madisen Beaty
Inanna Sarkis","Horror
Mystery",Link,Link,Link
7,Hot movie,The Conjuring: The Devil Made Me Do It,The Warrens investigate a murder that may be linked to a demonic possession.,2021,R,1h 52m,1.5,Michael Chaves,"Vera Farmiga
Patrick Wilson
Sterling Jerins
Julian Hilliard","
Horror
Mystery
Thriller",Link,Link,Link
8,Action movie,Those Who Wish Me Dead,A teenage murder witness finds himself pursued by twin assassins in the Montana wilderness with a survival expert tasked with protecting him -- and a forest fire threatening to consume them all.,2021,R,1h 40m,1.5,Taylor Sheridan,"Angelina Jolie
Nicholas Hoult
Finn Little","Action
Crime
Drama
Thriller",Link,Link,Link
9,Hot movie,Dark Spell,"Dark Spell is a story about the girl named Zhenya who suffers from being in love with her husband that has left her, so she decides to bring him back. Desperate heroine casts a spell called ""Black Wedding"", which is a magical ritual known for its great power and irreversibility. After the ritual, her beloved husband comes back, although his love becomes more like an obsession: he is even ready to kill Zhenya, so as not to give her to anyone. When the maddened husband dies, the spell does not stop: because even death will not part those who were betrothed by the demon of black wedding.",2021,R,1h 32m,1.5,Svyatoslav Podgaevskiy,"Yana Yenzhayeva
Konstantin Beloshapka
Ilya Yermolov","Drama
Fantasy
Horror
Romance
Thriller",Link,Link,Link
10,Action movie,Hard Hit,"Sung-Kyu (Jo Woo-Jin) works as a manager at a bank branch. he sets off to drive his kids to school and then go to work, but he receives a phone call without a caller ID. The caller tells him ""when you get out the car, a bomb will explode.""",2021,PG-13,1h 34m,1.5,Changju Kim,"Ji Chang-Wook
Woo-jin Jo
Ji-ho Kim","
Drama
Thriller",Link,Link,Link
11,Hot movie,Thien Than Ho Menh,"After the shocking suicide of a young pop star, her backup singer finds herself living a parallel life. But is her success earned, or is it being aided by occult forces?",2021,R,2h 4m,1.5,"
Victor Vu","
Amee
Trúc Anh","
Horror
Thriller",Link,Link,Link
12,Horror movie,Wrong Turn,"Friends hiking the Appalachian Trail are confronted by 'The Foundation', a community of people who have lived in the mountains for hundreds of years.",2021,R,1h 49m,1.5,Mike P. Nelson,"Charlotte Vega
Adain Bradley
Bill Sage","
Horror
Thriller",Link,Link,Link
13,Horror movie,Great White,"A fun filled flight to a remote atoll turns into a nightmare for five passengers when their seaplane is destroyed in a freak accident and they are trapped on a raft, 100 miles from shore with man-eating sharks lurking beneath the surface.",2021,R,1h 31m,1.5,Martin Wilson,"Katrina Bowden
Aaron Jakubenko
Kimie Tsukakoshi","Horror
Thriller",Link,Link,Link
14,Action movie,Face Off: 48H,"Ly Hai returns to his action movies. Magnificent context with serious investment, the action masterpiece Vietnamese Flip Face 48h will tell a dramatic journey to escape, choking to the last minute.",2021,PG-13,1h 50m,1.5,Ly Hai,"Le Ha Anh
Tiet Cuong
Huynh Dong","Action
Comedy",Link,Link,Link
15,Horror movie,Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",2021,R,1h 51m,1.5,James Wan,"Annabelle Wallis
Maddie Hasson
George Young","
Crime
Horror
Mystery
Thriller",Link,Link,Link
